FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': 'build-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 20, 'match': 'attachments/deploy-api/api-model.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/build-api/api-model.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/build-api/api-model.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 288, 'match': 'attachments/pluggable-widgets/card-description.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/card-description.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/card-description.png'}
OK {'file': 'projects-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 34, 'match': 'attachments/14778446/CreateNewAppCall.PNG)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/projects-api/CreateNewAppCall.PNG)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/projects-api/CreateNewAppCall.PNG'}
OK {'file': 'projects-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 56, 'match': 'attachments/14778446/call-create-new-app.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/projects-api/call-create-new-app.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/projects-api/call-create-new-app.png'}
OK {'file': 'projects-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 68, 'match': 'attachments/14778446/RetrieveJobStatusCall.PNG)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/projects-api/RetrieveJobStatusCall.PNG)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/projects-api/RetrieveJobStatusCall.PNG'}
OK {'file': 'projects-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 74, 'match': 'attachments/14778446/RetrieveJobStatusResponse.PNG)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/projects-api/RetrieveJobStatusResponse.PNG)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/projects-api/RetrieveJobStatusResponse.PNG'}
OK {'file': 'projects-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 84, 'match': 'attachments/14778446/call-retrieve-job-status.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/projects-api/call-retrieve-job-status.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/projects-api/call-retrieve-job-status.png'}
OK {'file': 'projects-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 126, 'match': 'attachments/14778446/expose-team-server-revision.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/projects-api/expose-team-server-revision.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/projects-api/expose-team-server-revision.png'}
OK {'file': 'projects-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 148, 'match': 'attachments/14778446/commit-working-copy.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/projects-api/commit-working-copy.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/projects-api/commit-working-copy.png'}
OK {'file': 'projects-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 154, 'match': 'attachments/14778446/ProjectsAPI_11.msd)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/projects-api/ProjectsAPI_11.msd)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/projects-api/ProjectsAPI_11.msd'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 90, 'match': 'attachments/pluggable-widgets-8/widget-property-types/string.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/string.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/string.png'}
