FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 47, 'match': 'attachments/8.0/copy-paste-page.gif)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/copy-paste-page.gif)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/copy-paste-page.gif'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 67, 'match': 'attachments/8.0/duplicate-and-delete.png)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/duplicate-and-delete.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/duplicate-and-delete.png'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 73, 'match': 'attachments/8.0/column-width.png)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/column-width.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/column-width.png'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 77, 'match': 'attachments/8.0/align-vertically.gif)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/align-vertically.gif)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/align-vertically.gif'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 81, 'match': 'attachments/8.0/add-and-resize-columns.gif)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/add-and-resize-columns.gif)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/add-and-resize-columns.gif'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 97, 'match': 'attachments/8.0/export-to-excel.png)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/export-to-excel.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/export-to-excel.png'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 184, 'match': 'attachments/8.0/creating-association-and-entity.gif)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/creating-association-and-entity.gif)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/creating-association-and-entity.gif'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 187, 'match': 'attachments/8.0/aggregate-function.png)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/aggregate-function.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/aggregate-function.png'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 201, 'match': 'attachments/8.0/page-view.png)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/page-view.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/page-view.png'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 232, 'match': 'attachments/8.0/select-attributes-for-data-grid.png)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/select-attributes-for-data-grid.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/select-attributes-for-data-grid.png'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 248, 'match': 'attachments/8.0/home-page-icon.png)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/home-page-icon.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/home-page-icon.png'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 278, 'match': 'attachments/8.0/toolbox-entity.png)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/toolbox-entity.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/toolbox-entity.png'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 314, 'match': 'attachments/8.0/structure-category.png)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/structure-category.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/structure-category.png'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 321, 'match': 'attachments/8.0/view-on-mobile-device.png)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/view-on-mobile-device.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/view-on-mobile-device.png'}
OK {'file': '8.0-8.6.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 333, 'match': 'attachments/8.0/checks-panel.png)', 'newInsert': '/attachments/releasenotes/studio/8.0-8.6/checks-panel.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.0-8.6/checks-panel.png'}
OK {'file': '8.7-8.18.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 69, 'match': 'attachments/8.7/help-and-learning.png)', 'newInsert': '/attachments/releasenotes/studio/8.7-8.18/help-and-learning.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.7-8.18/help-and-learning.png'}
OK {'file': '8.7-8.18.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\releasenotes\\studio\\\\', 'line No.': 109, 'match': 'attachments/8.7/publish-app.jpg)', 'newInsert': '/attachments/releasenotes/studio/8.7-8.18/publish-app.jpg)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/releasenotes/studio/8.7-8.18/publish-app.jpg'}
